"QRA","Rufname / Kennung"
"QRG","Frequenz / Kanal"
"QRK","Lesbarkeit / Radiowert"
"QRL","BeschÑftigung bei der man nicht funken kann"
"QRM","Stîrungen"
"QRT","Ende / Schlu·"
"QRV","Bereit / auf Empfang"
"QRX","Bitte warten!"
"QRZ","Kommen / Rufe ..."
"QSA","LautstÑrke / Santiagowert"
"QSB","Fading"
"QSL","EmpfangsbestÑtigung"
"QSO","Funkverbindung"
"QSP","Vermittlung / Relaisstation"
"QST","An ALLE!"
"QSY","Frequenzwechsel / Kanalwechsel"
"QTH","Standort"
"QTR","Uhrzeit"
"S1","kaum hîrbares Signal"
"S2","sehr schwach hîrbares Signal"
"S3","mÅhsam hîrbares Signal"
"S4","leises. aber ausreichend hîrbares Signal"
"S5","noch schwaches. aber ziemlich gut hîrbares Signal"
"S6","gut hîrbares Signal"
"S7","lautes Signal"
"S8","sehr lautes Signal. voll aufgedrehte LautstÑrke nicht mehr mîglich"
"S9","Ñu·erst lautes Signal"
"55","viel Erfolg / viele QSO's"
"73","die besten GrÅ·e"
"74","la· dich nicht erwischen"
"99","verschwinde"
"88","Liebe und KÅsse"
"600","weiter am Telefon"

