"00506033","(MEET) THE FLINTSTONES","the B.C. 52's","Rock","3421","SINGLE","The Flintstones (ORIGINAL LP VERSION)","The Flintstones (BARNEY's EDIT)","The Flintstones (SPACE COWBOY MIX I)","The Flintstones (INSTRUMENTAL)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40CA4310","ALLES PRIMA! N D W. CD 01","","NDW","12345789ABCED","DOPPEL","Goldener Reiter","Die Sennerin vom Kînigssee","Zauberstab","Hohe Berge","Hurra. Hurra. die Schule brennt","99 Luftballons","StÅverhoff","Computerliebe","Wissenswertes Åber Erlangen","Codo","EisbÑr","Sternenhimmel","Sommersprossen","Der Kommissar (Rap' That)","Da da da. ich lieb dich nicht","Der RÑuber und der Prinz","Anna - lassmichrein lassmichraus","Flieger. grÅ· mir die Sonne","","","","","","","","","","","",""
"00AD1610","ALLES PRIMA! N D W. CD 02","","NDW","1234678CFH","DOPPEL","Fred vom Jupiter","Carbonara","Skandal im Sperrbezirk","Ich will Spa·","Katherine. Katherine","TV-Glotzer","Dreiklangdimensionen (Remix '90)","Major Tom (Vîllig losgelîst)","Polizisten","Ich will","Bruttosozialprodukt","Kînig von Deutschland","Am wei·en Strand von Helgoland","Sauerland","Taxi","Himmel","Der Knutschfleck","Turaluraluralu - ich mach Bubu was machst du","","","","","","","","","","","",""
"00CDA62B","ASM Special 26","TRONIC Verlag GmbH & Co.KG","Computer","2345689ABDE","CD-ROM","Datenspur !!!Nicht abspielen!!!","Durch die WÅste","Durch die WÅste","Caribbean Disaster","Caribbean Disaster","Caribbean Disaster","Caribbean Disaster","ANSTOSS - World Cup Edition","ANSTOSS - World Cup Edition","BATTLE ISLE 2 Scenery CD","BATTLE ISLE 2 Scenery CD","Jazz Jackrabbit","Novastorm","Die Hîhlenwelt","","","","","","","","","","","","","","","",""
"0070F061","BOOM! SHAKE THE ROOM","JAZZY JEFF & FRESH PRINCE","Hip Hop","1234","MAXI-SINGLE","Album Version","Street Remix","Mr Lee's Extended Club Mix","From Da South","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00808E34","BRAVO HITS BOF94. CD 01","GERMAN LANGUAGES PUBLICATIONS","","9G6","DOPPEL","Saturday Night","Let The Dream Come True","Welcome To Tomorrow","Eins. zwei. Polizei","Sweet Dreams","Omen III","Get-A-Way","Right In The Night","Hyper Hyper","Is It Love","Somewhere Over The Rainbow","No One","Up'n Away","Don't Turn Around","Love Song","Der Berg ruft","Cotton Eye Joe","I Like To Move It","What's My Name?","United","","","","","","","","","",""
"607AB82D","BRAVO HITS BOF94. CD 02","GERMAN LANGUAGES PUBLICATION","","","DOPPEL","I Swear","Babe","Jessie","Sleeping In My Car","Cryin'","Love Is Strong","Es geht mir gut","Since I Don't Have You","Inside","What's The Frequency. Kenneth?","Alles aus Liebe","7 Seconds","Return To Innocence","Always","Things Can Only Get Better","An Angel","Love Can Build A Bridge","Unser Lied (LaLeLu)","MÑdchen","","","","","","","","","","",""
"80B93934","BRAVO HiTS 8. CD 01","","","36G","DOPPEL","Eins. zwei Polizei","(Meet) The Flintstones","Feel The Heat Of The Night","Take Your Chance","You Can Get It","No Good (Start The Dance)","","Leave Them Alone","Shine","You Don't Love Me (No. No. No)","Away From Home","I Show You Secrets","Dreams (Will Come Alive)","Find Me (Odyssey To Anyoona)","In The Middle Of The Night","Point Of No Return","Go On Move","Der Berg ruft","Bîîrti Bîîrti Vogts","Life In The Streets","","","","","","","","","",""
"605A182B","BRAVO HiTS 8. CD 02","","","","DOPPEL","Everybody","Saturday Night","Rock A Bit","Run Away","Into The Light","Fantastic Voyage","Games People Play","La Cucamarcha","Ritmo De La Noche","Run To The Sun","Fireworks","Picture Postcard from L.A.","Could It Be I'm Falling In Love","Fools","Summer In The City","Sexual","Inside","2 Hot 4 U","Sie sieht die Sonne","","","","","","","","","","",""
"20A7492B","BRAVO HITS 9. CD 01","ELECTROLA","","279BCDFGI","DOPPEL","Love Is Everywhere","Flying High","Love Is All Around","World Of Magic","Babylon","Is Cool Man","Ich Tarzan. Du Jane","Blow Boys Blow","Quo Vadis","The Spirit","Ja klar","Wild Thang","Short Dick Man","Star","Redemption (RMB Remix)","Rave Nation","Take Off (Raver's Nature Remix)","Tears Don't Lie (Oliver Lieb Remix)","You Made Me Belive In Magic","","","","","","","","","","",""
"00321E39","BRAVO HITS 9. CD 02","ELECTROLA","","73C","DOPPEL","When Do I Get To Sing 'My Way'","Tell Me When","Adiemus (aus der DELTA-Werbung)","Can't Love You","One More Dream","Max Don't Have Sex With Your Ex","Forever Young","I'll Follow The Sun","Machine Gun","I Dream Of You Tonight","Sing It To You (dee-doob-dee-doo)","Another Day","Surfin' (aus der TV-Serie 'Gegen den Wind')","Eternal Love","Why Why Why","Run To You","Ich will dich ('I Want You')","'74-'75","She's A River","Schweigen ist feige","","","","","","","","","",""
"80DC9B36","BRAVO HITS 10. CD 01","ELECTROLA/wea/Virgin/eW/EMI","","15DFGK","DOPPEL","No Mercy (Fist Of The Tiger)","There Is A Party","Be My Lover","I Wanna B With U","Find Another Way","Living Without Your Love","Angel","4 On The Floor","Hand In Hand","Baby Baby","Dreamer","The Reason Is You","Lick It","Don't Give Me Your Life","Love Is An Ocean","Friends","Nostra Culpa","Sueno Futuro (Wake Up And Dream)","Don't Laugh","Schlumpfen Cowboy Joe (Cotton Eye Joe)","","","","","","","","","",""
"20D3BB26","BRAVO HITS 10. CD 02","ELECTROLA/wea/Virgin/eW/EMI","","169EI","DOPPEL","Conquest Of Paradise","Roses Of Red","Think Twice","Whoops Now","If I Give You My Number","Hier kommt die Schwester","Dear Mama","When I Kiss You (I Hear Charlie Parker Playing)","Quietsche-Entchen","Everytime You Touch Me","Don't Stop Me Now","Take Your Chance","Nights In White Satin","Hypnotised","Down There","Perfect Day","New Boy","Ein Bett im Kornfeld","Beatles Medley","","","","","","","","","","",""
"0020B159","COME BABY COME","K7","Hip Hop","1","MAXI-SINGLE","COME BABY COME radio edit","COME BABY COME extended version","I'LL MAKE YOU FEEL GOOD extended version","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00280001","DA CAPO","PERPLEXER","Techno","1432","SINGLE","VIDEO MIX","CLASSIC RAVE MIX","SPACE TUBEMIX","NATURAL VIBES MIX","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004E0919","DOS TREND CD-ROM 3-4/95","TREND GmbH","Computer","223","CD-ROM","!!! DATENSPUR - nicht abspielen !!!","ITs MAGIC (F:\KATALOG\PEARL1.WAV)","ITs MAGIC Normalfassung","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00601828","DOS TREND CD-ROM 5-6/95","TREND GmbH","Computer","32","CD-ROM","!!! Datenspur !!! nicht abspielen!","ITs MAGIC (F:\KATALOG\PEARL1.WAV)","ITs MAGIC Normalfassung","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0008C458","droste. hîrst du mich?","mark' oh","Rave","312","MAXI-SINGLE","(long version)","(short version)","midnight (ghost mix)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0078EB72","DUNE - HARDCORE VIBES","DUNE","Rave","123","SINGLE","SOUTH BOUND MIX","GOOD VIBES MIX","CLUB MIX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0006B844","enjoy The mix","ZYX -MUSIC GMBH","MIX","851B9","MAXI-SINGLE","MOVE ON BABY","NEVER ALONE","AFRICA","PROHIBITION GROOVE","TAKE CONTROL","TELL ME THAT YOU WANT ME","TAKE ME AWAY","LET THE BEAT CONTROL YOUR BODY","THE RHYTHM OF THE NIGHT","HEART OF GLASS","MOVE ON BABY","AFRICA","NEVER ALONE","TELL ME THAT YOU WANT ME","","","","","","","","","","","","","","","",""
"00201070","FEELING SO REAL","MOBY","Techno","13","SINGLE","7' EDIT","UNASHAMED ECSTATIC PIANO MIX","NEW DAWN FADES","EVERYTIME YOU TOUCH ME","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0060F670","find another way","CAPTAIN HOLLYWOOD PROJECT","Dancefloor","132","MAXI-SINGLE","find another way (single mix)","find another way (extended mix)","odyssey of emotions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00D0A273","FLYING HIGH","CAPTAIN HOLLYWOOD PROJECT","Dance Floor","","SINGLE","RADIO MIX","EXTENDED MIX","BELLY MIX","SPACESHIP MIX","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00503006","Inside MULTIMEDIA 1/95","TRONIC Verlag GmbH & Co.KG","Computer","2","CD-ROM","Datenspur !!!Nicht abspielen!!!","The Art of Entertainment","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00241405","marusha - trip to raveland","marusha","Rave","312","MAXI-SINGLE","RAVELAND (WICKED MIX)","UPSIDE DOWN* (PUMPIN' MIX)","RAVELAND (VIDEO MIX)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00E08C45","MAX DON'T HAVE SEX WITH UR EX","E-ROTIC","Dance Floor","123","SINGLE","RADIO EDIT","EXTENDED VERSION","HOT SEX MAX MIX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"002D0061","MAXX - to the maximum","MAXX","Rave","","STANDARD","to the maxximum part I","to the maxximum part II","no more (i can't stand it)","i can make you feel like","get-a-way","suddenly","heart of stone","fight","voodoo child","you can get it","ritmo de la casa","should i stay. should i go","i want you","maxximum extacy","the maxx experience","","","","","","","","","","","","","","",""
"40B7BB60","MAYDAY RefOrmatiOn. CD 01","","Rave","134567","ALBUM","THe BellS OF RefOrmatiOn","YVesdaY","FOrmat","EnergY","CirCular RiOt","AttentiOn DimenSiOn","HigHer THan FiVe","BrOadCaSt","I Feel It","We Call It BlaCk ACid","NigHtmare","ImpreSSiVe COlleCtiVe","HigHer","","","","","","","","","","","","","","","","",""
"8023EC63","MAYDAY RefOrmatiOn. CD 02","","Rave","","ALBUM","I Can't Stand It","Frate Train","ACid FaZe","DJ DiSpute","HOuSeWaVe","F.A.C.T. NOt FiCtiOn","A1","LiVing Dead","AD Clap","ROOm 228","THe Open","Let It GrOW","UltraSCHall","","","","","","","","","","","","","","","","",""
"003C7C40","members only","members of mayday","Rave","1458BCEFG","STANDARD","YOu Are THe MemberS OF MaYdaY","Enter THe Arena","MaYdaY SpeCial RepOrt","IntO tHe RaVing SOCietY","We Are Different","Judgement DaY","ReligiOn","WOnder WHat'S On TV","Bells Of RefOrmatiOn","ReFOrmed VOiCe Bells","BeSt OF HOuSe And TeCHnO '91 (BirtH)","FOrWard EVer","MaYdaY AntHem","TiCket SOng","Members OnlY","WHere IS MY BuS","","","","","","","","","","","","","",""
